system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water,QA_snow
0,0.6388,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land,no
1,0.6599,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land,no
2,0.5771000000000001,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land,no
3,0.6114,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land,no
4,0.6079,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land,no
5,0.6026,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land,no
6,0.5900000000000001,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land,no
7,0.605,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land,no
8,0.6457,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land,no
9,0.6278,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land,no
10,0.5670000000000001,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land,no
11,0.547,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land,no
12,0.5152,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land,no
13,0.5445,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land,no
14,0.5848,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land,no
15,0.5975,-36.41830565134146,-6.8523311914723495,goodQA,highest,low,no,land,no
16,0.6348,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land,no
17,0.5711,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land,no
18,0.6207,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land,no
19,0.6085,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land,no
20,0.6036,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land,no
21,0.63,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land,no
22,0.6404000000000001,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land,no
23,0.5977,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land,no
24,0.5758,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land,no
25,0.4893,-36.45522534280393,-6.861324397394947,goodQA,highest,low,no,land,no
26,0.513,-36.44616726483008,-6.861324397394947,goodQA,highest,low,no,land,no
27,0.4946,-36.43710918685623,-6.861324397394947,goodQA,highest,low,no,land,no
28,0.5361,-36.428051108882386,-6.861324397394947,goodQA,highest,low,no,land,no
29,0.6351,-36.41899303090853,-6.861324397394947,goodQA,highest,low,no,land,no
30,0.6343,-36.40993495293469,-6.861324397394947,goodQA,highest,low,no,land,no
31,0.5732,-36.400876874960844,-6.861324397394947,goodQA,highest,low,no,land,no
32,0.5862,-36.391818796987,-6.861324397394947,goodQA,highest,low,no,land,no
33,0.602,-36.519322074546885,-6.870317603317545,goodQA,highest,low,no,land,no
34,0.6247,-36.51026382537939,-6.870317603317545,goodQA,highest,low,no,land,no
35,0.6237,-36.50120557621189,-6.870317603317545,goodQA,highest,low,no,land,no
36,0.5989,-36.492147327044385,-6.870317603317545,goodQA,highest,low,no,land,no
