system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.3417,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land
1,0.3351,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land
2,0.4438,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land
3,0.3364,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land
4,0.322,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land
5,0.3199,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land
6,0.3658,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land
7,0.386,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land
8,0.4058,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land
9,0.4236,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land
10,0.504,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land
11,0.5399,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land
12,0.4979,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land
13,0.4658,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land
14,0.4846,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land
15,0.4728,-36.41830565134146,-6.8523311914723495,goodQA,lower,low,no,land
16,0.4356,-36.40018983732183,-6.8523311914723495,goodQA,lower,low,no,land
17,0.4089,-36.39113193031201,-6.8523311914723495,goodQA,lower,low,no,land
18,0.346,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land
19,0.3442,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land
20,0.3554,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land
21,0.4049,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land
22,0.42,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land
23,0.42,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land
24,0.4679,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land
25,0.4354,-36.45522534280393,-6.861324397394947,goodQA,highest,low,no,land
26,0.4217,-36.44616726483008,-6.861324397394947,goodQA,highest,low,no,land
