system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.4002,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land
1,0.388,-36.52631203022179,-6.843337985549752,goodQA,lower,low,no,land
2,0.3163,-36.4900810851202,-6.843337985549752,goodQA,lower,low,yes,land
3,0.3449,-36.527000535459294,-6.8523311914723495,goodQA,lower,low,yes,land
4,0.3186,-36.51794262844948,-6.8523311914723495,goodQA,lower,low,yes,land
5,0.3522,-36.50888472143966,-6.8523311914723495,goodQA,lower,low,no,land
6,0.3635,-36.49982681442984,-6.8523311914723495,goodQA,decreasing2,low,yes,land
7,0.3335,-36.49076890742001,-6.8523311914723495,goodQA,lower,low,yes,land
8,0.399,-36.4817110004102,-6.8523311914723495,goodQA,decreasing2,low,no,land
9,0.3294,-36.47265309340038,-6.8523311914723495,goodQA,decreasing2,low,yes,land
10,0.3571,-36.463595186390556,-6.8523311914723495,regularQA,decreasing1,intermediate,yes,land
11,0.4149,-36.454537279380745,-6.8523311914723495,goodQA,lower,low,no,land
12,0.4182,-36.445479372370926,-6.8523311914723495,goodQA,lower,low,no,land
13,0.3609,-36.4364214653611,-6.8523311914723495,regularQA,decreasing1,intermediate,yes,land
14,0.3512,-36.42736355835128,-6.8523311914723495,regularQA,decreasing1,intermediate,yes,land
15,0.34,-36.41830565134146,-6.8523311914723495,goodQA,lower,low,yes,land
16,0.3743,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land
17,0.3449,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land
18,0.2691,-36.51863188862085,-6.861324397394947,goodQA,lower,low,yes,land
19,0.3485,-36.509573810647,-6.861324397394947,goodQA,decreasing2,low,no,land
20,0.3682,-36.50051573267316,-6.861324397394947,goodQA,decreasing2,low,no,land
21,0.3488,-36.4914576546993,-6.861324397394947,goodQA,lower,low,yes,land
22,0.4075,-36.48239957672546,-6.861324397394947,goodQA,decreasing2,low,no,land
23,0.3998,-36.47334149875162,-6.861324397394947,goodQA,decreasing2,low,no,land
24,0.3983,-36.46428342077777,-6.861324397394947,goodQA,decreasing2,low,no,land
25,0.3626,-36.45522534280393,-6.861324397394947,goodQA,decreasing2,low,no,land
26,0.3548,-36.44616726483008,-6.861324397394947,goodQA,decreasing2,low,no,land
27,0.3315,-36.43710918685623,-6.861324397394947,goodQA,lower,low,yes,land
28,0.3704,-36.428051108882386,-6.861324397394947,goodQA,decreasing2,low,yes,land
29,0.306,-36.41899303090853,-6.861324397394947,goodQA,highest,low,no,land
30,0.267,-36.40993495293469,-6.861324397394947,goodQA,highest,low,no,land
31,0.2791,-36.400876874960844,-6.861324397394947,goodQA,highest,low,no,land
32,0.3122,-36.391818796987,-6.861324397394947,goodQA,highest,low,no,land
33,0.3482,-36.519322074546885,-6.870317603317545,goodQA,lower,low,yes,land
34,0.3239,-36.51026382537939,-6.870317603317545,goodQA,lower,low,yes,land
35,0.349,-36.50120557621189,-6.870317603317545,goodQA,lower,low,yes,land
36,0.3556,-36.492147327044385,-6.870317603317545,goodQA,decreasing1,low,no,land
37,0.3836,-36.4830890778769,-6.870317603317545,goodQA,decreasing1,low,no,land
38,0.405,-36.474030828709395,-6.870317603317545,goodQA,decreasing2,low,no,land
39,0.3983,-36.46497257954189,-6.870317603317545,goodQA,decreasing2,low,no,land
40,0.3843,-36.455914330374405,-6.870317603317545,goodQA,decreasing2,low,no,land
41,0.3761,-36.4468560812069,-6.870317603317545,goodQA,decreasing2,low,no,land
42,0.3981,-36.4377978320394,-6.870317603317545,goodQA,highest,low,no,land
43,0.3894,-36.42873958287191,-6.870317603317545,goodQA,highest,low,no,land
44,0.331,-36.4196813337044,-6.870317603317545,goodQA,highest,low,no,land
